PROGNAME,VARIANT,ARGS,HOSTNAME,RUNID,THREADS,DATETIME,MINTIME,MEDIANTIME,MAXTIME,MINTIME_PRODUCTIVITY,MEDIANTIME_PRODUCTIVITY,MAXTIME_PRODUCTIVITY,ALLTIMES,TRIALS,COMPILER,COMPILE_FLAGS,RUNTIME_FLAGS,ENV_VARS,BENCH_VERSION,BENCH_FILE,UNAME,PROCESSOR,TOPOLOGY,GIT_BRANCH,GIT_HASH,GIT_DEPTH,WHO,ETC_ISSUE,LSPCI,FULL_LOG
0CFA_lvish,inplace_lockfree,-t blur1,d005,d005_1373576671,12,2013-07-11 21:05:56.008105 UTC,3.0055e-2,3.0099e-2,3.2688e-2,Just (-200.0),Just (-300.0),Just (-100.0),3.0099e-2 3.2688e-2 3.0055e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace,-t blur1,d005,d005_1373576671,24,2013-07-11 21:11:05.634845 UTC,3.8035e-2,3.9725e-2,4.0778e-2,Just (-600.0000000000001),Just (-300.0),Just (-600.0000000000001),3.8035e-2 4.0778e-2 3.9725e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,none,-t blur1,d005,d005_1373576671,8,2013-07-11 21:05:52.564376 UTC,Infinity,Infinity,Infinity,Nothing,Nothing,Nothing,Infinity,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace_lockfree,-t blur1,d005,d005_1373576671,20,2013-07-11 21:09:01.464922 UTC,3.8318e-2,3.9812e-2,4.2471e-2,Just (-500.0),Just (-500.0),Just (-400.0),4.2471e-2 3.9812e-2 3.8318e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace,-t blur1,d005,d005_1373576671,12,2013-07-11 21:05:56.931065 UTC,2.7461e-2,2.8762e-2,3.3214e-2,Just 100.0,Just 100.0,Just 100.0,3.3214e-2 2.7461e-2 2.8762e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace_lockfree,-t blur1,d005,d005_1373576671,1,2013-07-11 21:04:40.578317 UTC,4.8901e-2,5.1754e-2,5.5964e-2,Just 0.0,Just 0.0,Just 0.0,4.8901e-2 5.5964e-2 5.1754e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,none,-t blur1,d005,d005_1373576671,16,2013-07-11 21:07:57.807947 UTC,Infinity,Infinity,Infinity,Nothing,Nothing,Nothing,Infinity Infinity,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace,-t blur1,d005,d005_1373576671,16,2013-07-11 21:07:59.662148 UTC,3.2813e-2,3.6127e-2,3.7033e-2,Just 100.0,Just (-500.0),Just 100.0,3.6127e-2 3.2813e-2 3.7033e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA,none,-t blur1,d005,d005_1373576671,0,2013-07-11 22:15:07.355674 UTC,1.765109,1.7669,1.769516,Just 20.0,Just 0.0,Just 20.0,1.765109 1.769516 1.7669,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
0CFA_lvish,inplace,-t blur1,d005,d005_1373576671,1,2013-07-11 21:04:46.987743 UTC,3.1434e-2,3.1877e-2,4.0053e-2,Just 100.0,Just 100.0,Just 0.0,3.1434e-2 3.1877e-2 4.0053e-2,3,,,,[[]],0.0,,Linux d005 2.6.32-27,,,remotes/origin/HEAD,20dedb49432a5d9c30e06b7ae334ea41362ca3a0,568,,,,
